id,caption
638,"""A woman 
639,Soccer players standing around during a stoppage for an injured player .
640,A tan dog jumps across some water while another dog watches .
641,Two women with their arms around each other smile .
642,A young boy and girl are playing in a tunnel .
643,A woman speaks to a child while she studies on the floor .
644,A boy wearing a dirty uniform is playing baseball and hitting the ball with the bat inside of a fenced in area .
645,A woman is getting her hair curled by someone else with a curling iron .
646,A smiling lady in a green jacket at a public gathering .
647,Several people standing around a boat which has sails shaped like a fish .
648,A large Asian family gathers while seated on the floor to interact with a board apparatus .
649,Man using ax to take down a structure .
650,Two workers at a train station are cleaning an elevator .
651,A male youth is grinding a rail on his skateboard .
652,A man and a woman sit on a ledge in front of a window .
653,The Man and the Woman are talking with one another each carrying a child on a stroller .
654,A dog runs over the snow carrying a large stick in its mouth .
655,One football player holding the ball is chased by another football player from the opposing team
656,A lady is eating in a restaurant and a man is downstairs kneeling in the restaurants ' kitchen .
657,A child playing with some yarn .
658,A man smiling over his shoulder looking at the camera .
659,A orange kitten biting the nose of a child .
660,A man in a black shirt carrying a young child .
661,A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment .
662,A person jumps over a pool of water and their reflection is shown .
663,A man with a plaid shirt and black hat sits on top of a white horse talking with another man wearing a black shirt and white cowboy hat sitting on a brown horse .
664,a group of surfers catching a wave
665,A performing wearing a white shirt is standing among a crowd of fans .
666,Man in brown jacket extends his hand for water outside a blue building .
667,A man gesticulates .
668,A man a woman posing for a picture .
669,Three men examining clothing in a clothing shop .
670,There is a little girl in a pink shirt who is holding a red purse in her hand
671,Rednecks throwing knives .
672,A black dog jumping over a hurdle .
673,A man about to step off the edge of a desert rock formation .
674,A man in nice clothes is trying to balance on the end of the bulldozer bucket .
675,A girl jumping over a jump rope .
676,A lady rides her bike on a wooden deck at the beach .
677,A young man with a brown shirt who is doing some work on his computer .
678,"""People boarding a blue 
679,There are several Asian children sitting cross legged on a concrete floor .
680,A man in a raincoat puts his hand out while standing outside in front of a large advertisement on the side of a building .
681,Some people are standing in the street .
682,Customers standing in line at a food court .
683,A group of ten men in yellow soccer uniforms pose for a picture .
684,A group of five kids play happily in a yard .
685,Several people participating in a marathon
686,A bike mechanic explains the physics of a bike to a registered nurse .
687,A blond fisherman standing in the water prepares his hook .
688,A large basket of dumplings in an asian cafeteria setting .
689,A man practicing martial arts in the yard .
690,A man in a suit holds his cellphone in the air .
691,Two people look at a sign while standing under a red umbrella .
692,"""A blond woman appears to be on stage 
693,A group of men and a woman are on the tennis court .
694,A Man sweeping the cement ground .
695,a woman in maroon is running by other people dressed in running clothes
696,A little girl with a hat sits between a woman 's feet in the sand in front of a pair of colorful tents .
697,A small boy is getting a ride on the shoulders of a man wearing a blue Labor Day shirt .
698,"""A man with dreadlocks 
699,"""A young woman stands outside in the snow 
700,Long benchtops with microscopes have works at each station .
701,A boy with a green cap and red jacket is helping a man with a brown coat that is laying on the floor .
702,Crazy Christians praising the lord .
703,Women in red outfits perform a cheer at the Beijing 2008 Olympics .
704,Group of people in a cafe .
705,A bearded man with horn-rimmed eyeglasses and an outlandish knit cap naps on a busy subway train .
706,Two black dogs are diving into a pool to get a dog toy .
707,A mother and her kids taking a family picture .
708,A child in purple winter gear is on a red sled .
709,The woman holding a black purse is smoking a cigarette .
710,Large white dog jumps in the air to catch a black and white soccer ball .
711,A man wearing blue jeans and a black shirt is talking to a man wearing white shorts while they are sitting outside in folding chairs on a patio .
712,A shirtless boy in shorts is standing under a pier .
713,Firemen standing on a lift .
714,"""Several older men 
715,A boy slides down a slide with his legs apart .
716,A man falling off his surfboard on the top of a wave .
717,A bald ma in a red shirt sleeping on a motorized scooter .
718,Smiling woman sitting in snow .
719,A dog runs on the beach .
720,Two boys in an intense wrestling match .
721,Two children play on the street outside an old building .
722,"""A boy 
723,A young man wearing a blue shirt is in midair with a bicycle
724,A woman in blue shirt is holding a camera and being surrounded with bunch of people .
725,A man in a white t-shirt is crossing the sidewalk .
726,A black and brown dog jumps through the snow .
727,A young girl in pink is playing with a pink toy on asphalt .
728,A man standing next to some very small wooden carvings .
729,A view of a sea of heads on a crowded train .
730,Three women are dancing in red halter tops .
731,A woman in a blue shirt is holding a piece of paper with the word dreams written on it .
732,Men dressed in work gear assess a drainage area .
733,Man looks down at two women cooking with a silly look on his face .
734,"""Two slim 
735,Rocky mountains .
736,A woman is carrying a bowl full of fruit on her head near the ocean side .
737,Water splashing up against something .
738,A woman bidding farewell .
739,A man with black hair is wearing a red and yellow shirt and has a yellow clown nose and face makeup on .
740,The woman with the baby is drinking wine .
741,A flock of birds fly up from the ground next to a building with a mural .
742,A guy with a soda bends down as a woman stands on a bike .
743,Two white dogs wearing muzzles jump over a whiteboard .
744,A man in a red hat sings into a microphone .
745,A person riding a dirt bike is surrounded by green grass and trees .
746,A young man plucking on his guitar in a waiting room .
747,A man with a brown Mohawk and white shirt is wrapping his arm .
748,A man playing his guitar on a beautiful Sunday morning .
749,Children are dressed in black and white costumes .
750,Young men are attending a religious ceremony in a fancy building .
751,A young child in a blue flowery dress walks along a sidewalk near a gated wall .
752,A singer performs at a concert
753,Young boys in their adolescence are running on the beach .
754,"""A man catching a boy from falling in the water 
755,These children are gathered together writing notes related to a field trip .
756,People at a supermarket checkout .
757,Three men are having lunch on the steps .
758,"""Two classical dancers 
759,A little girl wearing a white blouse is standing by books .
760,"""An elderly woman sitting on a chair outside a door reading while wearing a bright floral dress 
761,A middle-aged women in a black shirt speaks into a microphone .
762,Woman in blue outfit and boots stands behind muddy Toyota truck with backpack near bushes .
763,A man wearing a blue jacket looks at the camera .
764,A female volleyball player is playing volleyball at the London Olympics .
765,A child sitting on a carousel horse .
766,Two oxen pulling a man through the muddy water .
767,An old man holds up a small boy 's hands as the child prepares to swim .
768,A public outdoor shopping area in a middle eastern country .
769,A man sleeping on a couch on the side of the road .
770,One black dog chases another on grass nearby a road that was recently snowed on .
771,A little girl is holding a little boy on her lap .
772,Young woman dressed in black looks over articles from a street vendor .
773,A cyclist rides in front of onlookers dressed in white and red gear .
774,A man and a dog who are both wearing sunglasses take a ride .
775,A woman runs beside a concrete wall .
776,A man performing a skateboard jump off the top of a ramp .
777,A boy in blue shorts and a white shirt begins repelling down a rock .
778,A group wearing red shirts is displaying numbers .
779,The three man are playing a drum .
780,A big white bird flies out of the water leaving a splash .
781,Some friends enjoy each others ' company .
782,A man in a green shirt has his hand on some tomatoes at a farmers market .
783,A brown dog with a pink collar with a heart on it playing with a bigger dog .
784,Six women displaying a flag .
785,A mother is holding a child .
786,Construction equipment and workers completing a task at night .
787,A young girl riding a surfboard .
788,"""Five snowmobile riders all wearing helmets and goggles line up in a snowy clearing in a forest in front of their snowmobiles ; they are all wearing black snow pants and from left to right they are wearing a black coat 
789,A man in a military uniform training a dog in what appears to be a park .
790,A woman in a city is looking behind her .
791,The kids are riding bikes in the pile of dirt .
792,A swimmer doing a flip in the air .
793,A man in a blue shirt is performing maintenance on a window .
794,A baby wrapped in a blanket sleeps .
795,"""Two dogs are running 
796,A man in a wheelchair wearing a brown jacket and holding a gray cane sits in front of some bushes and trees .
797,Man in chair reading entertainment magazine .
798,These three people are playing instruments while sitting in front of sheet music stands .
799,A man in a construction vest is looking at a vehicle .
800,A man in blue running across the street and avoiding traffic .
801,a person is sliding down a brick rail on a snowboard .
802,A young lady in gym attire is trying to reach the top of a wall that is covered in graffiti .
803,Boy making a muscle holding paper that says Easter egg hunt .
804,A boy and a girl are bending under a fence to look over a ledge .
805,The game booths at a carnival are shown with a doughnut shop in the background .
806,A person with an electric drill doing something to a toy animal .
807,One man watching as two other men cross arms in a room of men attending a party .
808,A hiker dressed in a blue with black jacket and tan pants surrounded by big trees covered in snow .
809,A kid is running after an airborne soccer ball during a game in a sunny field .
810,A snowboarder in the air as others watch .
811,A person obscured in shadow in a gymnasium .
812,A soccer player dressed in a red uniform goes up for a header .
813,A person in red leaping from a ledge trying to touch the suspended red ball .
814,Two dogs lying on their backs on the purple bed .
815,A group of men happily survey the day 's catch of fish .
816,The two young adults are playing on the chain play set .
817,People are riding on a train .
818,A girl in white boots holding an umbrella .
819,A man is sitting on the roof .
820,Two indigenous people wearing traditional costumes of reed hats and necklaces .
821,Three men cleaning the windows of a business .
822,A man in a red shirt is standing with two fitls in front of an old structure .
823,A soccer game where everyone is standing around on the field .
824,A young man and woman are standing close together in a shadow in an alley .
825,A man jumps off of one rooftop onto another .
826,A man posing in front of a bird cage .
827,A man lies down on a couch that has been placed on the street .
828,A young boy giving a thumbs up to the camera .
829,A woman is sitting on a bench looking at her phone .
830,"""A man with a beard sits with a guitar that 's opened up 
831,An older woman wearing a blue shirt and white skirt is squatting down with two black cats and a multicolored cat in front of her .
832,A family sits for a picture on a staircase outside .
833,"""Two guys are in a gym 
834,Construction workers are standing by a railway .
835,Woman walks with red grocery bags down the cobble street .
836,"""A guy in shorts 
837,a black and white dog is catching a Frisbee
838,Multiple people are sitting or walking near a carousel .
839,Man and child watching a rodeo .
840,A black dog walking along a rocky terrain .
841,"""A girl hold up a red item 
842,Two Orthodox priests stand on the steps outside a church .
843,Young girl in red skirt jumping in water on a flooded street .
844,many dogs jump over a fence .
845,The man is performing a trick with a bicycle high in the air .
846,A group of people enjoy food .
847,A football player dressed in green and white advances the ball while watched by a defender in blue .
848,a tan dog jumping over a goal net on a large grassy field
849,Two women are communicating at a restaurant .
850,A blond toddler with a ponytail rides a bucket swing .
851,A woman wearing a floral necklace makes a drink and smiles .
852,Amish guy plays golf and walks
853,a baby sticking wheat grass into his mouth
854,A young Hispanic woman in a pink tank top is painting .
855,There are a group of people in a pool and they have scuba gear on .
856,Two men are untangling their nets on the dock .
857,A man in red and blue and a woman in purple standing on top of red sea-saws .
858,People are waiting around at car show .
859,A girl in a white dress high up hanging from straps .
860,A hard working man speaks his mind into his megaphone .
861,Football players in red congratulate each other as crowds in red cheer behind .
862,A woman in a helmet hooking up to a wire .
863,"""Three men are walking around in an open 
864,Two young girls with dyed hair talk to two boys in black .
865,A couple talks to a man sitting with a hammer dulcimer .
866,Men play some type of sport on the field with what looks like hockey sticks .
867,Three young children strike poses wearing Santa-hats in front of a Christmas tree .
868,A group of children sitting on a white wall .
869,A woman in a low cut blue shirt is in a crowded room that looks smokey .
870,Two surfers are exiting the ocean while some other people are wading the surf .
871,Two ladies are sitting and there are pulses around them .
872,A young girl shines shoes while sitting on a bench .
873,"""A man dressed in athletic gear and sunglasses sits in a boat 
874,Young kids are on a small train ride .
875,A little girl carefully holds a white porcelain bowl while vigorously scrambling eggs .
876,Young adults looking out over the water with telescopes .
877,People getting ready to see their next leader .
878,People stand in the street outside of some tall cream colored buildings .
879,Attractive military man with weapons and ammunition sitting on top of a netted armed vehicle .
880,An Asian family prepares meat on skewers at a night market .
881,Singer on stage attempts to get the crowd involved at a concert .
882,A young child is sleeping on a chair .
883,Four friends are participating in a parade .
884,The dog leaps over the fence in the park .
885,A brown dog and a black dog playing with a yellow soccer ball .
886,An older man is drinking orange juice at a restaurant .
887,A girl swims in the blue-green waters .
888,Two men standing outside of a brick building .
889,Two people standing on the sidewalk .
890,People playing a game in the pool .
891,Woman smiling and looking a man while he is looking in a book smiling .
892,An old man plays guitar in front of a red bucket filled with money .
893,An older man sitting in front of a car .
894,A man pulls white bandages off the face of a man sitting in a chair .
895,A man is remodeling a room and standing by a ladder .
896,a man stands outside a bank selling watermelons .
897,Two women in traditional Japanese clothing smile at the photographer .
898,Three handicap bicyclist are racing against each other .
899,A man is playing the guitar in front of a microphone while another man is in the background playing the drums .
900,A family in a cold pool of water in the winter .
901,A man wearing a white shirt and black pants balances at the top of a red ladder as it leans against a brick building .
902,A baseball player hitting a ball .
903,Two men and one woman are sitting in a subway train .
904,A woman on a stage faces a packed audience of people .
905,an older man is looking at a display of fire
906,A man in red shirt is walking behind a couple and a girl with a white hat in the park .
907,A woman sits alone at a carnival in a lift .
908,A black man painted with gold gets his photo taken by a woman .
909,A man in a black shirt prepares to play the drum .
910,A man in a green shirt playing an acoustic guitar .
911,An older woman is looking at herself in the mirror at a table with cosmetics .
912,A man standing on a ladder talking to another man who is hanging out of a window .
913,A man helps a little boy climb to the top of a pole on a jungle gym .
914,"""Two men making faces and drinking beer from glasses 
915,The hiker nears a creek .
916,A person on a dirt bike is in the air .
917,An old Indian man dressed in rags sleeps on the ground using his backpack as a pillow .
918,A group of people are riding on a train .
919,A group of people are surrounding a person who is lying down .
920,A small brown dog runs through the grass in front of another dog and their owners .
921,A boy is about to lie in the green grass .
922,A woman in a gray shirt and plaid shorts swings gleefully on a tire swing with trees in the background .
923,A woman in a gold jacket and two other people playing instruments .
924,Several adults and children rioting for smaller class sizes .
925,"""Two uniformed police officers are holding large guns 
926,Asian people are standing in front of a vegetable market .
927,A woman is standing in a street pointing to hats on a table next to a little girl .
928,A woman in a grassy field blows on a dandelion .
929,An audience watches as a large man is about to crush something with a rubber mallet .
930,"""A young girl is lying on a rug 
931,People jogging together on a park sidewalk .
932,A person driving a green motorcycle
933,The man with the guitar case smiled at the other man .
934,"""One woman is sitting under a loom 
935,One child with a colourful toy and another child reaching up .
936,A yellow dog with a red bandanna fallen through the crust of the snow .
937,Four men in Revolutionary War era costumes face a crowd .
938,A group of men sits around a table .
939,"""A runner 
940,"""two metal cages 
941,A man is leaning on a racing motorcycle .
942,A bartender with an eyebrow ring is pouring a drink .
943,Three children playing with a ball on a beach .
944,The black dog is wearing a blue jacket and playing with a toy .
945,A blond child sliding down a metal slide .
946,Two young children are playing with a bubble-maker .
947,Little girl and little boy riding scooters down pathway .
948,People milling around outside a european cafe .
949,"""Young adults are seated at a restaurant table 
950,A man is pouring a liquid into a bowl .
951,"""Two teenage girls dance in pajama bottoms 
952,A blond girl in plaid shorts is driving a bearded man around the city in a bicycle taxi .
953,A large picture of a face with people sitting in front of it and other children wading in the water .
954,A swimmer performs the butterfly in a swimming pool .
955,FireFighters monitoring a cave fire .
956,"""Young 
957,A female dancer wearing all white dancing while a photographer wearing all white takes her picture .
958,A group of hiking among the tall trees .
959,A young child in a jacket and a hat sleeping .
960,A man taking a snooze on a crosswalk .
961,toddlers playing with toys .
962,"""A boy 
963,A young brunette stands among a flock of pigeons .
964,A man performs outside on cobblestone at night with his acoustic guitar under a giant orange Jagermeister banner .
965,"""Two men are talking on the street ; one is pointing at a sign that says """" Jesus or Hell """" beneath a red box 
966,Two women and one man skipping or dancing down a road while onlookers watch .
967,Many flags at full mast with people at the base .
968,Two men are riding a blue and orange boat .
969,A bunch of little kids are playing soccer .
970,A seven fisherman cautioning the fish .
971,A woman is standing at a counter that is holding buckets of flowers .
972,"""A child and a dog walking down the street 
973,This is the image of two Asian men squatting near a mop-pad .
974,A man and a woman sit on a deck under a blue sky that is about to be overtaken by tumultuous clouds .
975,Local people commute through a bazaar that sells etiquette specific to the town 's culture .
976,"""Police in riot gear 
977,Asian woman with sunglasses holds her white kimono up .
978,A beautiful scenic hiking area with backpackers and an older couple sitting on a rock resting .
979,A man planting some flowers around a pole outside .
980,A child laying on their stomach at the bottom of a slide looks up .
981,"""three women 
982,A team on a soccer field .
983,Three girls pile on top of each other on the concrete .
984,A man and woman watching a sports event in a stadium .
985,A blond-headed child holding a red broom .
986,"""A man sitting on a couch holding a baby 
987,Man rides a bike past an old baseball field
988,A group of children are playing with bubbles outdoors .
989,A young colored boy crying while on the skateboard .
990,A group of military men walking through town .
991,Stevie Wonder is performing on stage at one of his many wonderful concerts .
992,Native Americans in decorative dress appear to be celebrating for a cause .
993,indian ladies dancing in front of crowd
994,Woman and child outside the front door of their scenic home .
995,A barefoot young child in a white tee-shirt is climbing a skate park wall .
996,A young cowboy is mesmerized by the presence of a camel .
997,Three asian female pedestrians on a city street after going to a Starbucks at one point .
998,A crowded street with pedestrians being directed by police and barriers .
999,Three surfers walking down a beach .
1000,"""A clown in a red and green shirt 
1001,A picture of a person on a skateboard.
1002,a full size dog is smelling a bat on a ballfield.
1003,a bed room with a neatly made bed with night stands
1004,A yellow bus that says 103 Roja on the front
1005,A brown cow grazing on grass on a mountain.
1006,A toaster with a face on it with spoons.
1007,A plate of two slices of pizza and a cup of juice.
1008,there is a woman sitting outside writing and drinking coffee
1009,A white teddy bear sitting on top of a trash can.
1010,there is a man sitting around many birds
1011,A bathroom looks clean but is missing tile at the shower stall.
1012,The large lizard is on the steps near the birds.
1013,Bathroom stall with green door in commercial business.
1014,Three giraffe's leaning over to get a sip of water.
1015,A women in a blue shirt cuddles up with her cat
1016,A woman carrying a surfboard on the shore of the beach.
1017,a urinal hanging on a wall in between two stalls
1018,A man kneeling down in front of a refrigerator.
1019,a woman standing while looking at her cell phone
1020,A man wearing a jacket and  a bow tie.
1021,a close up of a piece of cake on a plate
1022,Automobiles stopped at an intersection because of a passing train.
1023,a young kid with a baseball bat gets ready for the pitch
1024,A person jumping a horse over an obstacle on a course.
1025,Small children in green uniforms running on a soccer field.
1026,Panoramic image of zebras grazing and lying in a field.
1027,a brown gray and black bird sitting on a branch
1028,A dog is in the grass with a frisbee in its mouth.
1029,A piece of cake sitting on top of a blue and white paper plate.
1030,People walk down a crowded street at a festival
1031,A woman sitting on a wooden bench next to a rock wall.
1032,A dog herding a group of sheep in a meadow
1033,Several laptop computers and electronic devices on a desk.
1034,A woman in a coat and cat is towing luggage through an airport.
1035,A large orange and white kite flying in a blue sky.
1036,A person walking down a street past a teddy bear sign.
1037,A giraffe walking near a tree with very few leaves.
1038,a bench that has many colors on it
1039,a brown bear is lying asleep in a hammock
1040,A women sitting down on a couch playing the wii .
1041,There is an old multi colored volvo parked next to a motel
1042,Various fruits and vegetables are on display close together.
1043,A man taking a picture of himself in a mirror.
1044,Giraffe from the zoo staring into the distance.
1045,The sheep gathered in the meadow wait to be told where to go
1046,The man is standing on a bed playing guitar.
1047,Person holding on to a video game remote while using a computer mouse with other hand
1048,A couple of people with a laptop at a table.
1049,A large modern kitchen has pineapples on the counter.
1050,Closeup picture of the front of a clean motorcycle.
1051,two boys caring a big kite type of thing
1052,a banana and a chocolate frosted donut sitting in a baggie
1053,Two surfers are riding a wave on their surf boards.
1054,A STREET WITH A BUNCH OF CARS ON IT
1055,The batter is going to hit the ball in the baseball game.
1056,A gray and white cat standing on a lush green field.
1057,A view of a small laptop with a mouse next to it.
1058,A black cat sits in a white bathroom sink.
1059,Laptop computer with wireless keyboard and mouse on table.
1060,A motorcycle and a vintage Mustang car parked at a curb.
1061,A mural of people are on a yellow tile wall.
1062,A picnic table sitting next to a tree.
1063,Two jumbo jets are driving on the runway of an airport.
1064,A person cutting a multi layer cake with a knife.
1065,A parasailer in the distance with two surfers in the foreground.
1066,Several people in a green field flying kites.
1067,A man with a helmet on riding on an electrical skateboard.
1068,The man is practicing his moves on his skateboard.
1069,"A man and his dog in a boat
1070,A woman that is bent over on a counter.
1071,Two giraffes inside of a cage at the zoo.
1072,A train as it travels down the tracks over a bridge.
1073,A zebra standing in a field of grass outside.
1074,A man holding holding a giant remote control.
1075,A blue piece of luggage sitting on the side of  a road.
1076,A pro plane and a jet play flying close to each other in the sky.
1077,a bowl of tomato soup with two grilled cheese sandwiches on a plate
1078,THERE IS AN IMAGE OF A LIVING ROOM WITH A WINDOW VIEW
1079,Slices of meat pizza with a shot glass of mustard
1080,three birds perched and one flying towards the viewer
1081,A young man is in blue and white playing tennis.
1082,A sign with a trailer at the corner of East St. and East St.
1083,A city filled with lots of vehicles and pedestrian traffic.
1084,there are many people that are sitting on top of a hill
1085,A one way sign and two other signs mounted to a pole
1086,A boy sliding down a waterslide at a waterpark.
1087,A vehicle and a motor bike on the beach.
1088,"Two white passenger trains are parked on the tracks
1089,Green stop lights are set against a tall building.
1090,A makeshift bedroom is decorated in plastic and cardboard.
1091,A bathroom with a white sink and a towel rack.
1092,Two cats laying together on a bed or floor
1093,"A hotel room bed with white linens
1094,"A picture of an old
1095,Two twin beds with no comforters on them.
1096,A giant cruise ship next to another giant cruise ship next to a long pier.
1097,a big plate with some potatoes and meat on it
1098,Cat sitting on cabinet in front of large screen television.
1099,Some wooden objects and beads in a display case.
1100,Two kids hanging out playing video games on folding chairs.
1101,The Fort York Blvd. sign is very close to the stop sign.
1102,A group of people on slope with snowboards and skis.
1103,three people sitting at a table with their cellphones
1104,A cat laying on a toilet seat with its paws inside .
1105,A person skis through some trees down a hill
1106,Old wooden wagon with banana bunches on it
1107,A child in front of a well stocked refrigerator.
1108,"A rural road with three octagonal signs
1109,A picture of a horse taken through a circular window
1110,"Three plates
1111,A brown and white animal laying on top of a bed.
1112,A large green field with a bench in the foreground.
1113,Teddy bears sitting around a table and a christmas tree
1114,Two men working on and repairing a toilet
1115,Large stuffed bear sitting outside of a building.
1116,People are riding horses next to the trees.
1117,A scone with an orange slice on a plate
1118,A dirty floor and wall with a black kit going into a trap door.
1119,A woman stands near a humorous parking sign.
1120,ships in the distance behind a grassy marsh with egrets
1121,"An old
1122,A small boat makes its way across the water on an overcast day.
1123,An elephant drinking water in an enclosure at a zoo.
1124,Two elephants touching each other with their trunks and tusks.
1125,three men riding horses through a grassy field
1126,A woman getting ready to eat a pizza on the table.
1127,Man in shirt and tie leaning back in chain in office.
1128,A police officer riding a bike in the street.
1129,a snowboarder in a black jacket is doing a trick
1130,this is a cat sitting on a white bed
1131,A cat watches as its owner uses the laptop.
1132,Two people in a commercial kitchen making pizza.
1133,There is a male tennis player that is going to serve the ball
1134,Three people are skiing on the snowy mountain.
1135,A picture of someone in the TV on the wall.
1136,A green bench sitting on the side of a sidewalk.
1137,a black train is coming down some tracks
1138,A man takes a pictures of himself in a mirror.
1139,"Various fruits packaged
1140,A man is looking at himself in the mirror.
1141,Two zebras are battling each other on hind legs.
1142,A fire hydrant in a grassy field next to a bush
1143,A photograph of a highly decorated parking meter.
1144,a couple of women are talking on their cellphones
1145,Two giraffes looking at the other animals in the enclosure.
1146,a small party of people eats some pizza on a table
1147,A boy on a skateboard rail on a skateboard
1148,a baseball player swinging a bat at a ball
1149,A serving slice of cake on a table.
1150,A black motorcycle parked on a brick walkway
1151,A train is making its way down the tracks.
1152,a bunch of bikes are lined up on a curb
1153,Women worker looking at rear view mirror smiling
1154,Group of men sitting on bicycles watching a show on stage.
1155,people standing on a platform next to a train at night
1156,A beautiful dessert waiting to be shared by two people
1157,a bunch of giraffes are in a large pin
1158,A man is about to serve a tennis ball.
1159,There are two people posing and one man is holding a banana
1160,Two stuffed bears are positioned at a table with a jar of honey
1161,A picture of a women sitting on a motorcycle with a side car with a desert background of hills.
1162,A desk with two monitors depicting security cameras.
1163,A man that is surfing in the water.
1164,A cat resting on top of a laptop computer.
1165,Diners in a restaurant sit at a long table.
1166,Some cars on the freeway are exiting onto Sunset Blvd.
1167,a chicken meal with carrots broccoli and rice
1168,A metal clock tower on a sidewalk in front of a bulding.
1169,A small white dog stands on a wooden bench.
1170,hotdog on bun with what looks like horseradish sauce
1171,There is a street sign on the corner by a building.
1172,A long-haired cat sits on a window sill and stares outside.
1173,Crown marching in one direction in a lightly attended protest.
1174,A stove that has a spice rack next to it.
1175,The locomotive of a train is painted yellow.
1176,A dog sitting in a pile of bedding and other stuff.
1177,A cat sitting of a TV on top of a TV stand.
1178,A couple of people are riding horses on the beach
1179,Young children are at the beach flying a toy story kite.
1180,A fire hydrant in the middle of the street curbside
1181,Young people dressed in costume carry black umbrellas.
1182,a man is seen holding a very old cellphone
1183,A metro style train engine passing under a bridge.
1184,A red fire hydrant is on the brick sidewalk.
1185,a person on skis with ski poles standing at the top of a hill
1186,A castle is shown on the water next to a bridge.
1187,A man on his phone is on a red bench.
1188,A bird is sitting on a railing next to a potted plant.
1189,two men walking down a city streen next to a blue pole.
1190,A marble table with white plate holding a pizza.
1191,many kites flying in the sky with cars parked
1192,A cat lying on a suit case and looking alertly.
1193,A blue colorful kite flying through the gray sky.
1194,A computer mouse is beside a notebook computer.
1195,Two boys sit on chairs and play video games.
1196,Those look like remote or game controls in their hands.
1197,The luggage suitcases with tags on them are stacked near one another.
1198,A person is surfing in a wave pool.
1199,A white plate topped with a banana and pudding.
1200,Red fire hydrant on a curb by a street.
1201,A woman on skis standing sideways in the snow.
1202,A woman is brushing her teeth and posing for a picture.
1203,a man in a baseball uniform standing with his mit on
1204,A young child is sitting in the snow
1205,A plastic horse standing on top of a chair.
1206,Soccer players try to gain possession of the ball.
1207,two shorn sheep walking between some bushes
1208,Guy falling off his surfboard after losing battle with the wave
1209,Sepia photograph of three elephants in a pen.
1210,The two teams are kicking a soccer ball.
1211,Many tourists riding on elephants in a river
1212,A bed sitting next to a night stand and a table and chairs.
1213,A teddy bear couple sit on a couch together.
1214,A man is holding a toothbrush and a paper bag while seated.
1215,A cat is sitting in a small bowl on the table.
1216,"Compact bathroom area
1217,The cord and warning label on a hair dryer.
1218,"A bathroom with a sink
1219,A chair with a lot of stuffed animals on it sitting beside a small table.
1220,A biilboard with a railcar in front of it.
1221,A man in a red shirt tossing a white frisbee.
1222,A man walks his dog down the sidewalk.
1223,a green vase with some flowers and greenery
1224,Something knitted is lying on top of a laptop.
1225,a white polar bear is laying down in its pen
1226,bright red microwave sitting on the kitchen counter
1227,THERE ARE A LOT OF SHEEPS WALKING THE FIELD
1228,a man on his phone in some kind of room
1229,A baseball player pitching a ball on top of a field.
1230,"A large
1231,A man cooking hot dogs with a light colored jacket on
1232,Buses parked on a road outside a large bus station.
1233,Two Halloween characters next to a pizza on a table.
1234,A skateboarder is performing a tick in a skate park.
1235,A yellow bird stands perched on a tree branch.
1236,a boat with some people on it drive through a water way
1237,A large batch of pineapples stacked up next to each other.
1238,A couple of cows standing next to each other near a street.
1239,two public transit buses on a city street
1240,Small children standing around a small white sheep.
1241,a table that has some food on top of it
1242,two giraffe are standing  and the other animals are walking
1243,"A pear
1244,an image of a very old fashioned living room
1245,there is a large bowl with vegetables and broccoli in it
1246,some people are looking at different television sets
1247,a boy making a face while running to get his kite in the air
1248,A close up of two pastries and a cup of coffee.
1249,A wedding cake sitting on a table with flowers
1250,A large open area with concrete floor and a McDonalds in the background with Chinese writing on the building.
1251,two women and two men smiling over a pizza
1252,THERE IS A BATHROOM WITH A SINK AND A MIRROR
1253,There is a person in the picture by itself.
1254,Several skiers are on the side of a steep slope.
1255,Something that looks like a parking meter painted yellow on a sidewalk.
1256,A person standing in a room near a tennis racket.
1257,A drooping pink and white flower with green leaves.
1258,A female tennis player prepares to swing at a tennis ball.
1259,A couple of dishes are sitting on a stove.
1260,A bunch of brown signs on a pole.
1261,Two empty toilet paper roll holders hang in the stall while the empties lay around and a nice roll sets on the bar.
1262,A black sculpture of a torso is on the floor next to a TV.
1263,A large teddy bear sits in front of the store.
1264,a hot dog on a plate next to two glasses.
1265,A cow that is leaning under a metal wall.
1266,A chair and luggage sitting at a railing on the water.
1267,A pile of luggage sitting up against a white fence.
1268,a bike leaning on a door of a building
1269,A person with a rainbow umbrella looking at the ocean
1270,A tennis player is attempting to hit the ball.
1271,People on the beach watching the parasailing in the water
1272,A baby elephant standing at the feet of its chained parent
1273,a close up of a cat laying on a desk near a keyboard
1274,A group of zebras standing and grazing in a grass field.
1275,A cat that is checking into its Twitter account to post a tweet.
1276,A medium sized red boat going down a waterway.
1277,A bathroom being renovated with pipes in the wall
1278,A man riding a skateboard down a street next to parked cars.
1279,A Tenn player that is returning a tennis ball back to his opponent.
1280,A large long train with man inside on the track.
1281,A giraffe standing by a pair of skinny trees.
1282,"A living room with sofas
1283,A small bathroom is in the middle of a renovation.
1284,a man taking a picture of a narrow walkway
1285,A cat lying down in a sink in a bathroom.
1286,A picture of a dog laying under a table on the rug.
1287,Couple on sailboat with dog on open waters.
1288,A person in a black snow suit on a pair of skis in the snow.
1289,Horses communing with each other on a shady street.
1290,an image of a stuffed teddy bear sitting up
1291,A white table topped with cakes and nuts.
